zip,id
03222,1
03245,1
03246,1
03251,4
03253,2
03256,5
03257,2
03262,1
03264,2
03266,1
03276,3
03301,4
03302,1
03303,1
03304,4
03431,4
03446,2
03449,1
03458,1
03466,1
03561,4
03575,2
03576,1
03581,7
03586,1
03748,1
03753,1
03755,7
03756,1
03766,4
03768,1
03784,4
03801,13
03812,1
03818,2
03820,5
03824,2
03833,4
03838,1
03845,1
03846,3
03857,1
03860,8
03862,2
03867,3
03874,2
03878,4
03885,2
03894,2
03902,1
03904,4
03906,1
03907,2
03909,6
03911,1
04005,9
04009,2
04011,9
04015,2
04016,1
04021,3
04022,1
04029,1
04032,5
04037,2
04038,3
04043,18
04046,9
04054,1
04055,1
04062,4
04071,1
04072,3
04073,1
04074,9
04079,1
04084,1
04086,8
04090,3
04092,6
04096,2
04097,1
04101,35
04102,6
04103,5
04104,1
04105,8
04106,11
04107,4
04122,1
04210,10
04217,4
04220,1
04238,1
04240,2
04255,1
04260,1
04261,3
04268,4
04270,3
04274,2
04276,1
04281,6
04294,3
04327,1
04330,18
04345,5
04347,2
04351,1
04401,12
04412,3
04416,2
04421,2
04424,1
04441,3
04460,1
04462,2
04469,1
04472,1
04530,1
04537,1
04538,2
04543,1
04544,2
04553,2
04562,1
04574,1
04578,1
04604,1
04605,4
04609,14
04612,1
04614,5
04616,1
04617,1
04619,3
04627,1
04631,1
04640,1
04652,2
04653,1
04654,1
04658,1
04660,1
04662,2
04669,1
04674,1
04679,2
04681,1
04684,1
04685,1
04693,1
04694,1
04730,4
04736,1
04743,2
04769,3
04841,5
04843,5
04848,1
04850,2
04856,2
04859,1
04860,1
04861,2
04901,3
04915,3
04927,1
04937,2
04938,4
04945,4
04947,1
04953,2
04966,1
04967,2
04970,2
04974,1
04976,5
04988,3
05001,7
05031,2
05032,3
05033,2
05045,1
05055,2
05059,3
05060,2
05061,2
05068,3
05089,2
05091,3
05101,1
05142,1
05143,2
05146,2
05149,3
05152,1
05153,1
05155,2
05156,3
05201,7
05250,2
05251,3
05254,1
05255,7
05257,3
05301,13
05302,1
05344,1
05345,2
05346,1
05356,2
05359,1
05360,2
05363,2
05401,25
05403,24
05405,7
05408,2
05439,1
05445,1
05446,4
05450,1
05452,4
05459,1
05461,1
05462,1
05464,2
05465,1
05471,2
05472,1
05477,1
05478,4
05482,6
05486,1
05487,1
05488,1
05491,3
05495,7
05602,24
05641,5
05655,3
05656,3
05661,3
05663,2
05667,1
05669,1
05672,17
05673,12
05674,7
05676,5
05677,1
05701,12
05733,2
05735,1
05737,1
05751,11
05753,13
05759,1
05770,1
05819,9
05820,1
05824,2
05827,1
05828,3
05830,1
05843,7
05846,1
05855,4
05859,1
05860,1
05862,1
06001,1
06002,5
06010,5
06013,1
06018,1
06019,1
06026,1
06029,5
06032,1
06033,2
06035,1
06037,2
06039,1
06040,3
06042,5
06051,5
06053,5
06058,1
06062,2
06063,1
06066,3
06067,3
06068,1
06070,6
06072,1
06074,1
06075,2
06076,1
06078,1
06082,4
06084,1
06089,1
06092,2
06095,3
06096,3
06103,11
06105,1
06106,10
06107,4
06108,3
06109,4
06110,3
06111,5
06112,2
06117,2
06118,2
06120,5
06226,7
06232,1
06234,2
06237,1
06238,2
06239,2
06248,5
06256,1
06258,1
06259,1
06260,8
06268,6
06269,2
06281,2
06320,10
06338,2
06339,1
06340,12
06351,1
06355,5
06357,2
06360,10
06371,2
06374,1
06378,1
06380,1
06382,2
06385,2
06389,1
06401,1
06403,1
06405,7
06408,1
06410,1
06413,2
06416,1
06417,1
06423,1
06424,3
06426,2
06437,3
06443,9
06450,5
06451,1
06457,9
06459,4
06460,12
06470,1
06471,1
06473,6
06475,7
06477,4
06478,1
06483,1
06484,4
06488,1
06489,5
06492,6
06498,2
06510,10
06511,9
06512,3
06514,2
06516,2
06517,3
06518,2
06519,12
06524,1
06525,2
06604,2
06605,2
06606,3
06608,1
06610,2
06611,3
06612,1
06614,1
06615,1
06701,1
06704,1
06705,2
06706,4
06757,2
06762,1
06763,1
06776,4
06783,1
06787,1
06790,6
06793,2
06794,1
06795,4
06801,2
06810,21
06811,4
06812,1
06820,7
06824,18
06825,3
06830,9
06831,1
06840,5
06850,4
06851,5
06854,9
06870,1
06877,5
06880,15
06883,1
06890,1
06897,2
06901,8
06902,8
06905,7
07001,3
07002,1
07003,11
07004,6
07005,1
07009,2
07013,1
07014,1
07016,3
07018,1
07020,6
07023,1
07024,3
07027,4
07028,1
07029,6
07030,18
07032,7
07035,3
07039,4
07040,1
07041,1
07042,9
07043,2
07044,5
07045,1
07047,2
07052,8
07054,12
07055,2
07059,4
07060,4
07065,3
07066,1
07068,1
07069,1
07070,11
07071,2
07073,3
07075,3
07078,3
07079,2
07081,4
07083,10
07086,1
07087,1
07090,4
07092,1
07093,7
07094,6
07095,13
07102,7
07103,1
07104,1
07105,1
07106,1
07107,1
07108,2
07109,1
07114,22
07201,11
07204,1
07205,2
07208,1
07302,21
07304,4
07305,3
07306,3
07307,3
07310,7
07311,3
07392,1
07405,1
07410,2
07417,4
07424,3
07430,26
07442,1
07444,1
07446,3
07450,3
07452,1
07458,1
07461,2
07470,10
07495,7
07506,3
07512,3
07601,6
07604,2
07605,2
07606,1
07621,1
07624,2
07627,1
07628,2
07643,1
07644,3
07645,2
07647,1
07649,2
07652,23
07657,1
07662,2
07663,2
07666,4
07670,1
07677,19
07701,9
07702,1
07712,2
07716,1
07719,10
07724,6
07728,8
07730,1
07731,2
07732,2
07733,7
07735,4
07740,1
07747,3
07748,1
07753,6
07755,3
07764,1
07822,1
07828,1
07832,1
07834,8
07843,1
07849,1
07856,1
07857,1
07860,5
07866,3
07869,2
07871,3
07874,2
07882,1
07885,3
07901,2
07920,8
07921,1
07922,5
07924,1
07927,1
07928,4
07936,1
07940,10
07950,3
07960,11
07974,2
07981,1
08002,11
08003,2
08004,2
08005,1
08008,6
08010,1
08012,4
08016,10
